TICKER,EMPRESA,RATIO,INFO,INDUSTRIA
GGB,GERDAU SA -SPON ADR,1:4,Trimestral,Materiales
GILD,GILEAD SCIENCES INC,10:1,Trimestral,Salud
GIS,GENERAL MILLS INC,4:1,Trimestral,Consumo
GLD,SPDR GOLD TRUST,0:1,Irregular,Materiales
GLW,CORNING INC,9:1,Trimestral,Tecnología
GM,GENERAL MOTORS CO,6:1,Trimestral,Transporte
GOOG,ALPHABET INC-CL C,50:1,Trimestral,Tecnología
GOOGL,ALPHABET INC-CL A,50:1,Trimestral,Tecnología
GPS,GAP INC/THE,1:1,Irregular,Consumo
GSK,GLAXOSMITHKLINE PLC-SP ADR,2:1,Semestral,Salud
GS, GOLDMAN SACHS GROUP INC,2:1,Trimestral,Finanzas
HBI,HANESBRANDS INC,2:1,Trimestral,Consumo
HD,HOME DEPOT INC,11:1,Trimestral,Consumo
HES,HESS CORP,3:1,Trimestral,Energía
HIG,HARTFORD FINANCIAL SVCS GRP,2:1,Trimestral,Finanzas
HMC,HONDA MOTOR CO LTD-SP ADR,1:1,Irregular,Automotriz
HON,HONEYWELL INTERNATIONAL INC,10:1,Trimestral,Industria
HRL,HORMEL FOODS CORP,2:1,Trimestral,Consumo
HSBC,HSBC HOLDINGS PLC-SP ADR,1:1,Anual,Finanzas
HUM,HUMANA INC,3:1,Trimestral,Salud
IBM,INTERNATIONAL BUSINESS MACHINES,2:1,Trimestral,Tecnología
IDXX,IDEXX LABORATORIES INC,1:1,Trimestral,Salud
IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC,3:1,Trimestral,Consumo
ILMN,ILLUMINA INC,6:1,Trimestral,Salud
INL,BASF SE,4:1,Anual,Materiales
INTC,INTEL CORP,8:1,Trimestral,Tecnología
JNJ,JOHNSON & JOHNSON,3:1,Trimestral,Salud
JPM,JPMORGAN CHASE & CO,3:1,Trimestral,Finanzas
K,KEEBLER CO,2:1,Trimestral,Consumo
KO,COCA-COLA CO,5:1,Trimestral,Bebidas
KOS,KOENIG & BAUER AG,2:1,Irregular,Materiales
KSU,KANSAS CITY SOUTHERN,1:1,Ninguna,Transporte
L,LULULEMON ATHLETICA INC,6:1,Trimestral,Consumo
LAZ,LAZARD LTD,4:1,Semestral,Finanzas
LMT,LOCKHEED MARTIN CORP,5:1,Trimestral,Industria
LOW,LOWE'S COMPANIES INC,20:1,Trimestral,Consumo
LUV,SOUTHWEST AIRLINES CO,1:1,Trimestral,Transporte
MA,MASTERCARD INC,11:1,Trimestral,Finanzas
MCD,MCDONALD'S CORP,10:1,Trimestral,Consumo
MCK,MCKESSON CORP,4:1,Trimestral,Salud
MDLZ,MONDELEZ INTERNATIONAL INC,5:1,Trimestral,Consumo
MDT,MEDTRONIC PLC,4:1,Trimestral,Salud
MEI,MERRIMACK PHARMACEUTICALS INC,1:1,Ninguna,Salud
MET,METLIFE INC,2:1,Trimestral,Finanzas
MGM,MGM RESORTS INTERNATIONAL,1:2,Trimestral,Consumo
MKO,MARKET OF KIA MOTORS,1:1,Irregular,Automotriz
MPC,MARATHON PETROLEUM CORP,2:1,Trimestral,Energía
MRK,MERCK & CO INC,3:1,Trimestral,Salud
MS,MOODY'S CORP,2:1,Trimestral,Finanzas
MSFT,MICROSOFT CORP,12:1,Trimestral,Tecnología
MT,ARCELORMITTAL SA,1:1,Semestral,Materiales
MUR,MURPHY OIL CORP,2:1,Trimestral,Energía
MXL,MEXICHEM SAB DE CV,2:1,Ninguna,Materiales
NDAQ,NASDAQ INC,1:1,Trimestral,Servicios
NEM,NEWMONT CORP,4:1,Trimestral,Materiales
NFLX,NETFLIX INC,15:1,Trimestral,Consumo
NKE,NIKE INC,3:1,Trimestral,Consumo
NOK,NOKIA CORP-SPONSORED ADR,1:1,Irregular,Telecomunicaciones
NTRS,NORTHWESTERN MUTUAL,1:1,Ninguna,Finanzas
NVDA,NVIDIA CORP,18:1,Trimestral,Tecnología
ORCL,ORACLE CORP,8:1,Trimestral,Tecnología
OXY,OXYCONTIN INC,1:1,Trimestral,Energía
PBR,Petroleo Brasileiro SA-PON ADR,1:1,Anual,Energía
PFE,PFIZER INC,4:1,Trimestral,Salud
PG,PROCTER & GAMBLE CO,3:1,Trimestral,Consumo
PGR,PROGRESSIVE CORP,1:1,Trimestral,Finanzas
PLD,PROLOGIS INC,7:1,Trimestral,Servicios
PM,PHILIP MORRIS INTERNATIONAL INC,6:1,Semestral,Consumo
PNC,PNC FINANCIAL SERVICES GROUP,1:1,Trimestral,Finanzas
PPL,PPL CORPORATION,2:1,Trimestral,Energía
PRU,PRUDENTIAL FINANCIAL INC,1:1,Trimestral,Finanzas
PSA,PUBLIC STORAGE,3:1,Trimestral,Servicios
PSX,PHILLIPS 66,2:1,Trimestral,Energía
PYPL,PAYPAL HOLDINGS INC,10:1,Trimestral,Finanzas
QCOM,QUALCOMM INC,9:1,Trimestral,Tecnología
RE,EVERSPROUT INC,1:1,Ninguna,Servicios
RF,REGIONS FINANCIAL CORP,1:1,Trimestral,Finanzas
RDS.A,ROYAL DUTCH SHELL PLC-ADR,4:1,Semestral,Energía
RHI,ROBERT HALF INTERNATIONAL INC,1:1,Trimestral,Servicios
ROK,ROCKWELL AUTOMATION INC,5:1,Trimestral,Industria
ROP,ROPER TECHNOLOGIES INC,5:1,Trimestral,Industria
ROST,ROSS STORES INC,2:1,Trimestral,Consumo
RUS,ROSNEFT OIL COMPANY-SPON ADR,3:1,Trimestral,Energía
SAB,SAFILO GROUP SPA,1:1,Irregular,Consumo
SAP,SALESFORCE.COM INC,14:1,Trimestral,Tecnología
SBUX,STARBUCKS CORP,7:1,Trimestral,Consumo
SCHW,CHARLES SCHWAB CORP,2:1,Trimestral,Finanzas
SNA,SNAKE RIVER VALLEY FOODS,1:1,Irregular,Consumo
SO,SOUTHERN COMPANY,4:1,Trimestral,Energía
SPG,SIMON PROPERTY GROUP INC,6:1,Trimestral,Servicios
SPOT,SPOTIFY TECHNOLOGY SA,20:1,Trimestral,Servicios
SRE,SEMPRA ENERGY,1:1,Trimestral,Energía
STLA,STELLANTIS NV,1:1,Trimestral,Automotriz
T,TELSTRA CORPORATION LTD,1:1,Irregular,Telecomunicaciones
TFC,REGIONS FINANCIAL CORP,1:1,Trimestral,Finanzas
TGT,TARGET CORP,5:1,Trimestral,Consumo
TWTR,Twitter Inc,12:1,Irregular,Servicios
TXN,TEXAS INSTRUMENTS INC,10:1,Trimestral,Tecnología
UAL,UNITED AIRLINES HOLDINGS INC,2:1,Trimestral,Transporte
UPS,UNITED PARCEL SERVICE INC,6:1,Trimestral,Transporte
USB,US BANCORP,2:1,Trimestral,Finanzas
UTX,UNITED TECHNOLOGIES CORP,4:1,Trimestral,Industria
V,VISA INC,10:1,Trimestral,Finanzas
VZ,VERIZON COMMUNICATIONS INC,2:1,Trimestral,Telecomunicaciones
WBA,WALGREENS BOOTS ALLIANCE INC,4:1,Trimestral,Consumo
WFC,WELLS FARGO & CO,2:1,Trimestral,Finanzas
WMT,WALMART INC,4:1,Trimestral,Consumo
WRB,WR BERKLEY CORP,1:1,Trimestral,Finanzas
XOM,EXXON MOBIL CORP,3:1,Trimestral,Energía
XRX,XEROX HOLDINGS CORP,1:1,Trimestral,Servicios
YUM,YUM BRANDS INC,4:1,Trimestral,Consumo
ZBH,ZIMMER BIOMET HOLDINGS INC,1:1,Trimestral,Salud
ZM,ZOOM VIDEO COMMUNICATIONS INC,10:1,Trimestral,Servicios
